percentage_diabetes,per_capita_spend,total_spend
7.5135893824,21.079238588732288,638679.85000
7.3992142339,22.37977881493507,330862.65000
7.1336889522,20.50778135048231,299762.24000
7.0341026039,21.12990079166248,421710.56000
6.9114691398,20.05206514439221,298575.25000
6.8080820051,20.06248186829127,138310.75000
6.6896080597,20.207038556976514,211729.35000
6.6285014762,22.989174361759915,169292.28000
6.5605047339,19.39835650537308,319510.33000
6.5212029333,18.676482472324718,202453.07000
6.4440352993,17.110008296603578,329966.51000
6.3846782864,17.024566854432255,287119.32000
6.3346281704,24.24083023039329,833302.78000
6.3140864798,21.937162514827993,184930.28000
6.2525760253,20.901794968934688,275861.89000
6.2191734525,19.016497410206338,223957.29000
6.1796134580,23.096994088221926,203161.16000
6.1399381997,24.91879059643013,286192.31000
6.0982095373,22.33963481104651,122957.35000
6.0619561356,24.530710763791973,263680.61000
6.0313164508,18.51621955128205,115541.21000
6.0146970206,20.07355970952125,298533.98000
5.9863224569,19.598764859623977,232460.95000
5.9855642275,26.713116013071904,163484.27000
5.9579352553,21.96030808835742,264446.03000
5.9251374845,20.03083280806807,254231.33000
5.9057546204,19.33555772320404,168490.05000
5.8753268846,20.624705066995226,267832.42000
5.8488425308,19.126751161463847,234666.11000
5.8428986309,18.007565511411666,106514.75000
5.8230187055,15.691386655074982,72196.07000
5.8157222331,22.916466828300642,311916.03000
5.7923279103,18.996553704767376,99219.00000
5.7696745904,21.38505023255814,229889.29000
5.7537315929,19.413158965417033,200402.04000
5.7381686259,20.227808574836857,576533.00000
5.7226555847,20.575120535714284,138264.81000
5.6916420266,21.994083638025586,288738.33000
5.6789866278,18.957294018058693,134369.30000
5.6588150925,19.1916946247092,313477.14000
5.6226592038,20.88428375382666,197836.82000
5.6037204691,19.47756714060031,369879.00000
5.5621264449,19.549982988375387,137905.58000
5.5383252105,25.227041860465118,135595.35000
5.5161685788,22.77844742635496,217283.61000
5.4976124654,24.450923809523808,128367.35000
5.4602958858,17.977874581139304,75111.56000
5.4474816221,22.008560174243467,474922.72000
5.4423049565,20.597106173598828,267906.56000
5.4324109134,19.115163347505035,170851.33000
5.4105107366,22.03273425314936,183642.84000
5.4025739521,19.30859687844868,244948.86000
5.3855670910,20.10419776627622,221407.53000
5.3738759862,21.409470300061237,279693.32000
5.3476414746,22.819979312383023,231645.61000
5.3343925833,21.514096643439448,472385.02000
5.2770494822,20.191504652708538,243024.95000
5.2569249535,20.065630772696554,178142.67000
5.2408879377,19.495701235894682,145126.00000
5.2219823677,19.490501683769516,735045.29000
5.2156782827,17.949380915168884,206723.02000
5.1837712085,22.224841361170473,135193.71000
5.1177270013,19.81788936874024,215678.09000
5.1068115123,22.184755956098865,248624.56000
5.0603698567,20.483483354220024,375933.37000
5.0390044577,21.031990416513082,171179.37000
4.9321954817,19.18333231614281,125727.56000
4.9042204326,22.606051015851758,405010.01000
4.8671008062,21.992954874358634,167168.45000
4.8479792362,20.904270906712284,207725.74000
4.7761248592,20.763156333716037,434033.02000
4.7231883627,22.031069967481386,210022.19000
4.6527397911,20.05349786241742,206390.60000
4.5828450311,22.210326685427635,181525.00000
4.5062681373,18.402913821521068,312628.70000
4.4563930696,17.539602414833972,203371.69000
4.3863324213,20.256926079734214,487786.78000
4.3643150251,21.97030975877193,160295.38000
4.2283573774,22.70533221194281,80989.92000
4.2024150242,16.543479437229436,214006.45000
4.1208835021,20.59643962848297,106442.40000
3.9787473406,21.925795072788354,78318.94000
3.8376788069,21.05264354446442,199094.85000
3.5037137801,18.03893660883009,105004.65000
